subjects,career_label,career_description,career_opportunities,sl_monthly_salary,sl_location,foreign_monthly_salary,foreign_location,work_type,skills,education_requirement
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",80451,Kurunegala,2930,Germany,Hybrid,Research Teamwork Python Problem Solving Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",99484,Jaffna,4996,Germany,Remote,Leadership Communication Critical Thinking Teamwork Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",108068,Kandy,4507,USA,Remote,Critical Thinking Python Creativity Design Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",119112,Batticaloa,2398,UK,On-site,Problem Solving Leadership Teamwork Communication Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",124207,Batticaloa,3026,Australia,Remote,Teamwork Python Research Analysis Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",149005,Kurunegala,2970,USA,On-site,Creativity Communication Critical Thinking Design Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",99607,Kandy,3150,UK,Hybrid,Python Analysis Communication Creativity Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",74604,Galle,2330,Canada,On-site,Communication Creativity Problem Solving Research Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",63641,Galle,3286,USA,Remote,Teamwork Communication Research Python Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",81766,Colombo,2351,Australia,Hybrid,Problem Solving Python Analysis Creativity Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",90488,Anuradhapura,3629,Australia,On-site,Teamwork Critical Thinking Analysis Communication Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",63194,Anuradhapura,5033,USA,Remote,Analysis Communication Research Creativity Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",91298,Colombo,5974,Canada,Hybrid,Communication Critical Thinking Problem Solving Analysis Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",127607,Batticaloa,2679,Germany,Remote,Analysis Design Creativity Critical Thinking Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",138435,Jaffna,5822,Germany,On-site,Creativity Critical Thinking Communication Teamwork Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",107540,Jaffna,4296,Canada,Remote,Design Leadership Communication Creativity Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",147148,Batticaloa,5992,USA,Remote,Teamwork Design Communication Analysis Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",144447,Anuradhapura,3614,Australia,Remote,Analysis Design Leadership Creativity Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",118734,Anuradhapura,5515,Australia,Remote,Critical Thinking Python Leadership Teamwork Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",119441,Anuradhapura,3867,Canada,Remote,Research Problem Solving Communication Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",144421,Colombo,3922,Canada,On-site,Critical Thinking Creativity Teamwork Analysis Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",75531,Colombo,4403,Australia,Hybrid,Research Communication Critical Thinking Design Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",84110,Kurunegala,3384,Australia,On-site,Research Analysis Communication Python Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",78301,Kurunegala,3339,Australia,Remote,Python Communication Critical Thinking Teamwork Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Education, Psychology, Child Development",School Teacher,"Teachers educate students, plan lessons, and assess performance. They work in schools, focusing on academic and social development. Patience, subject knowledge, and communication are key. Teachers play a crucial role in shaping young minds.","Schools, Educational NGOs",145390,Colombo,2722,UK,Remote,Analysis Problem Solving Critical Thinking Leadership Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",97429,Kurunegala,3616,USA,Hybrid,Communication Leadership Problem Solving Creativity Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",118750,Kandy,5541,UK,Remote,Research Problem Solving Leadership Communication Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",115904,Anuradhapura,3823,Australia,On-site,Python Leadership Critical Thinking Teamwork Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",97656,Batticaloa,5230,Australia,On-site,Analysis Critical Thinking Teamwork Design Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",134626,Kandy,5878,USA,Remote,Leadership Teamwork Critical Thinking Problem Solving Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",113513,Kandy,4974,Germany,Remote,Critical Thinking Python Creativity Leadership Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",105061,Kurunegala,3659,Canada,On-site,Communication Research Leadership Python Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",101462,Jaffna,5669,Germany,Hybrid,Teamwork Research Design Analysis Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Civil Engineering, Physics, Mathematics",Civil Engineer,"Civil engineers design and oversee construction projects like roads, bridges, and buildings. They plan, budget, and ensure projects meet safety standards. Their work shapes infrastructure and urban development. Proficiency in design software, materials science, and structural analysis is essential.","Construction Firms, Government",140156,Colombo,2294,Australia,On-site,Communication Design Analysis Problem Solving Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",111057,Anuradhapura,5546,USA,Hybrid,Teamwork Communication Research Design Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Agriculture, Botany, Environmental Science",Agricultural Officer,"Agricultural officers advise farmers, manage rural projects, and promote sustainable farming. They analyze soil, crop performance, and suggest improvements. Officers often work with the government or NGOs to ensure food security and rural development.","Govt Depts, NGOs, Private Sector",123782,Batticaloa,2913,Canada,Hybrid,Leadership Critical Thinking Creativity Research Teamwork,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",64387,Batticaloa,2244,Australia,Remote,Design Teamwork Python Creativity Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",112213,Galle,5721,Germany,Hybrid,Critical Thinking Communication Creativity Research Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",129894,Galle,4992,USA,Remote,Communication Problem Solving Creativity Research Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",95982,Colombo,2461,UK,Hybrid,Python Critical Thinking Problem Solving Leadership Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",62605,Colombo,3660,Canada,On-site,Analysis Communication Problem Solving Leadership Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",66173,Jaffna,2410,UK,Hybrid,Analysis Communication Python Teamwork Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",76371,Kandy,4419,USA,Hybrid,Leadership Python Research Problem Solving Critical Thinking,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",110279,Jaffna,2869,UK,Hybrid,Python Design Critical Thinking Leadership Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Computer Science, Mathematics, Statistics",Data Analyst,"A data analyst collects, processes, and performs statistical analyses of data. They turn data into information that helps businesses make informed decisions. Analysts often work with databases, reporting tools, and visualization platforms. They collaborate with teams to understand data needs and deliver actionable insights. Strong communication and problem-solving skills are essential. Opportunities span across various industries such as finance, healthcare, e-commerce, and education, making it a versatile and in-demand career path for those skilled in data and analytics.","Finance, Healthcare, Tech Firms, Government",82278,Kandy,4616,UK,Hybrid,Teamwork Leadership Creativity Analysis Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",71073,Kurunegala,4927,Canada,On-site,Design Communication Analysis Problem Solving Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Law, Political Science, Ethics",Lawyer,"Lawyers represent clients in legal matters, draft contracts, and provide counsel. They may specialize in criminal, civil, corporate, or family law. Strong analytical, communication, and research skills are essential. Lawyers work in courts, law firms, or public service.","Law Firms, Judiciary, Public Sector",69932,Colombo,2999,USA,On-site,Design Critical Thinking Leadership Research Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",115683,Anuradhapura,5979,UK,Hybrid,Critical Thinking Communication Problem Solving Research Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",62764,Kandy,3044,UK,Remote,Design Teamwork Problem Solving Analysis Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",63119,Kurunegala,3201,Canada,Hybrid,Teamwork Leadership Communication Python Research,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",109288,Galle,4030,Canada,Remote,Creativity Critical Thinking Analysis Python Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",110012,Kandy,4425,Canada,Remote,Analysis Teamwork Design Creativity Python,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Nursing, Biology, Community Medicine",Nurse,"Nurses provide care, support, and medical assistance to patients. They work in hospitals, clinics, and communities. Duties include administering medication, monitoring health, and educating patients. Compassion, clinical skills, and stamina are important in nursing careers.","Hospitals, Clinics, Health NGOs",81215,Anuradhapura,4207,UK,Remote,Communication Teamwork Design Python Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",64981,Galle,2497,Canada,On-site,Research Critical Thinking Problem Solving Creativity Analysis,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",83051,Kandy,3024,Canada,Remote,Problem Solving Leadership Critical Thinking Communication Design,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Biology, Chemistry, Physics",Medical Scientist,"Medical scientists conduct research to improve human health. They design and perform studies, analyze medical data, and develop treatments or vaccines. Often working in labs or hospitals, they collaborate with physicians and other scientists. Their work contributes to understanding diseases and improving healthcare outcomes. A strong background in biology and research methodology is essential.","Hospitals, Labs, Research Centers",130863,Kurunegala,4267,Australia,On-site,Problem Solving Research Critical Thinking Teamwork Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Mechanical Engineering, Physics, Chemistry",Mechanical Engineer,"Mechanical engineers design, develop, and test mechanical systems. They work in manufacturing, automotive, energy, or robotics sectors. Knowledge of physics, materials, and CAD tools is essential. Engineers solve practical problems with technical innovation.","Factories, R&D Labs",97232,Kandy,2923,USA,On-site,Design Creativity Critical Thinking Problem Solving Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"History, Political Science, Sociology",Historian,"Historians study, interpret, and write about the past. They analyze historical documents, artifacts, and sources to understand historical events and trends. They may work in academic, museum, or editorial roles. Historians contribute to education, policy-making, and cultural preservation by offering insights into human history.","Universities, Museums, Archives",143182,Galle,4372,Australia,Hybrid,Critical Thinking Problem Solving Research Teamwork Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Business Administration, Marketing, HRM",HR Manager,"HR managers handle recruitment, employee relations, and organizational development. They ensure legal compliance, design policies, and manage benefits. HR professionals foster a healthy work culture, support employee growth, and align HR goals with business strategy.","Corporates, NGOs, Consulting",69070,Kandy,2120,UK,On-site,Python Design Creativity Research Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"English, Mass Communication, Psychology",Content Writer,"Content writers create engaging written content for blogs, websites, marketing, and social media. They research topics, develop ideas, and ensure proper tone and grammar. Writers may work in journalism, advertising, education, or freelancing. Creativity, research skills, and command of language are key.","Media, Advertising, Freelance",126960,Anuradhapura,2625,Germany,On-site,Analysis Communication Research Problem Solving Creativity,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Zoology, Marine Biology, Ecology",Wildlife Researcher,"Wildlife researchers study animal behavior, habitats, and conservation strategies. They conduct fieldwork, collect data, and publish findings. Work involves biology, ecology, and environmental science. Passion for nature and scientific inquiry is important.","NGOs, Universities, Forest Depts",120004,Colombo,2819,UK,On-site,Research Teamwork Design Analysis Problem Solving,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Fine Arts, Design, Photography",Graphic Designer,"Graphic designers create visual content for branding, marketing, and web design. They use design software to produce logos, posters, ads, and social media content. Aesthetic sense, creativity, and digital skills are vital. Designers work in agencies, media, or freelance.","Media Houses, Agencies, Freelance",142822,Kurunegala,4621,Canada,On-site,Critical Thinking Leadership Analysis Design Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Commerce, Economics, Accounting",Chartered Accountant,"Chartered accountants manage finances, audits, and tax planning for organizations. They analyze financial data, ensure regulatory compliance, and advise on budgeting. Their role is vital for business decision-making and financial integrity. CAs often work in firms, corporations, or as independent consultants. A qualification from a recognized accounting body is essential.","Audit Firms, Banks, Corporates",128981,Kurunegala,4662,Germany,On-site,Python Research Teamwork Analysis Leadership,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
"Information Technology, AI, Data Science",AI Engineer,"AI engineers develop intelligent systems capable of simulating human behavior. They design algorithms, build models, and integrate AI into applications. Work includes machine learning, deep learning, and natural language processing. AI engineers collaborate with data scientists and developers to deliver smart solutions.","Tech Companies, Startups, R&D",144740,Kurunegala,5515,Germany,Remote,Analysis Problem Solving Python Design Communication,"Bachelor’s or higher in relevant field with strong foundation in domain and practical exposure through internships, research, or industry certifications."
